Source,Target,Weight
NB,LB,3
NB,ED,115.52
NB,LA,37.07
NB,LC,50.23
NB,EE,42.06
NB,EH,6.5
NB,EF,18.83
NB,EA,42.18
NB,NC,39.18
NB,EC,19.53
NB,MA,1.67
NB,ND,2
NB,OA,1.5
NB,EG,14.5
NB,EB,73.52
SB,LC,2
SB,EE,7
SB,ND,2
SI,ED,1
SI,EE,10.33
SI,OB,6
SI,ND,2
EI,LB,5
EI,SA,2
EI,ED,84.5
EI,LA,2
EI,SC,0.5
EI,SE,4.5
EI,LC,5
EI,EE,209.57
EI,EH,143.33
EI,EF,71.5
EI,EA,133.33
EI,NC,1
EI,EC,27.66
EI,OB,0.5
EI,MA,4.5
EI,SF,19.67
EI,SH,1
EI,ND,24.83
EI,OC,11
EI,OA,6.33
EI,EG,5
EI,SD,6.5
EI,EB,53.5
EI,HE,1
LB,ED,17.17
LB,LA,254.56
LB,SC,1
LB,SE,4
LB,LC,107.42
LB,EE,104.91
LB,EH,15.5
LB,EF,10
LB,EA,27.33
LB,NC,10.83
LB,EC,11.5
LB,OB,1
LB,MA,0.5
LB,ND,11.5
LB,OA,1
LB,EG,2
LB,EB,3.33
LB,HE,9
SA,LA,0.5
SA,NC,1
ED,LA,34.61
ED,SE,1
ED,LC,179.8
ED,EE,631.6
ED,EH,29.7
ED,EF,231.47
ED,EA,232.54
ED,NC,85.67
ED,EC,95.5
ED,OB,19
ED,MA,10.67
ED,SH,3
ED,ND,14
ED,OA,40.08
ED,EG,14
ED,EB,275.02
ED,HE,24.22
LA,SC,2.34
LA,LC,608.66
LA,EE,36.45
LA,EH,14.11
LA,EF,51.17
LA,EA,108.06
LA,NC,179.89
LA,EC,187.85
LA,OB,4
LA,MA,6.83
LA,ND,20
LA,HC,1.34
LA,OA,73.82
LA,EG,16.82
LA,EB,74.21
SC,EE,38.33
SC,EF,2
SC,EA,2
SC,ND,2
SC,HC,2.34
SC,OC,2
SE,LC,4
SE,EH,3.5
SE,EC,2
SE,SD,4
SE,EB,1
LC,EE,100.18
LC,EH,31.69
LC,EF,7.5
LC,EA,126.92
LC,NC,105.67
LC,EC,39.87
LC,OB,6
LC,MA,2.5
LC,SH,3.2
LC,ND,13.83
LC,OC,3.7
LC,OA,81.96
LC,EG,36.62
LC,SD,23.5
LC,EB,83.33
LC,HE,12.5
EE,EH,17.5
EE,EF,73.96
EE,EA,236.07
EE,SG,8
EE,NC,3.5
EE,EC,20.43
EE,OB,33.33
EE,MA,24.75
EE,SF,7.5
EE,SH,12
EE,ND,38.33
EE,HC,18
EE,OC,1
EE,OA,32.61
EE,EG,2
EE,SD,9
EE,EB,40.33
EE,HE,79.15
EH,EF,95.79
EH,EA,67.6
EH,NC,16.58
EH,EC,94.51
EH,SF,3
EH,ND,50.49
EH,OA,1
EH,EG,11.29
EH,EB,52.86
EH,HE,2
EF,EA,194.81
EF,NC,66.91
EF,EC,242.98
EF,ND,20.83
EF,EG,1
EF,EB,232.31
EA,NC,33.58
EA,EC,79.8
EA,OB,17.7
EA,MA,3.5
EA,SF,1
EA,SH,3
EA,ND,18
EA,OA,3
EA,EG,9
EA,SD,1.4
EA,EB,209.68
EA,HE,32
SG,OB,1
SG,SD,7
NC,EC,184.13
NC,ND,3.5
NC,EG,8.52
NC,EB,102.55
EC,OB,6.5
EC,SH,1
EC,ND,3
EC,EG,9
EC,EB,288.74
OB,SH,3
OB,ND,2
OB,EB,1.5
MA,OA,0.5
MA,EB,5.5
SF,ND,2
SF,OC,10
SH,OC,4.2
ND,EB,1.5
OC,HE,0.5
OA,EG,0.5
OA,EB,2
OA,HE,2
EG,EB,9.83
EB,HE,4.72
